"id","title","slug","address"
"3","Middle East Upstairs","middle-east-upstairs",""
"4","The Stone Church Meeting House","stone-church-meeting-house",""
"2","T.T. the Bear's Place","tt-bears-place","10 Brookline Street Cambridge, MA 02139-4152"
"5","Machine Nightclub","machine-nightclub","1254 Boylston Street, Boston, MA (Fenway)"
"1","Wonder Bar","wonderbar","186 Harvard Avenue Allston, MA 02134-2806"
"6","Royale Boston","royale-boston","279 Tremont St., Boston, Massachusetts 02116"
"7","Middle East Corner ","middle-east-corner","472-480 Massachusetts Avenue, Cambridge, Mass"
"8","Brighton Music Hall","brighton-music-hall","158 Brighton Avenue, Allston, MA"
"9","The Sinclair","sinclair","52 Church Street, Cambridge, MA 02138"
"10","South Shore Music Hall","south-shore-music-hall","1515 Hancock St, Quincy, MA ‎"
"11","Wonder Bar - DOWNSTAIRS","wonder-bar-downstairs","186 Harvard Avenue, Allston, MA"
"12","Phoenix Landing","phoenix-landing","512 Mass Avenue, Cambridge, MA"
